time,open,high,low,close,volume
2022-02-16,0.49320000,0.51230000,0.47080000,0.48700000,69947025.00000000
2022-02-17,0.48690000,0.48880000,0.43040000,0.43670000,60550975.00000000
2022-02-18,0.43700000,0.44990000,0.40870000,0.41240000,34902144.00000000
2022-02-19,0.41240000,0.42570000,0.39820000,0.41730000,25602196.00000000
2022-02-20,0.41730000,0.41730000,0.37470000,0.39150000,36643404.00000000
2022-02-21,0.39170000,0.42360000,0.35430000,0.35710000,62101804.00000000
2022-02-22,0.35710000,0.38530000,0.34760000,0.38230000,44539950.00000000
2022-02-23,0.38230000,0.39370000,0.35260000,0.35330000,41977217.00000000
2022-02-24,0.35350000,0.36510000,0.30230000,0.36160000,94355176.00000000
2022-02-25,0.36180000,0.37250000,0.33980000,0.36070000,91600035.00000000
2022-02-26,0.36070000,0.37280000,0.34230000,0.34830000,64787401.00000000
2022-02-27,0.34820000,0.36750000,0.32800000,0.33630000,64938818.00000000
2022-02-28,0.33630000,0.37780000,0.32650000,0.37720000,50133622.00000000
2022-03-01,0.37710000,0.38920000,0.36500000,0.37540000,52225609.00000000
2022-03-02,0.37540000,0.39460000,0.36330000,0.37420000,47113450.00000000
2022-03-03,0.37380000,0.37750000,0.35360000,0.36480000,35741236.00000000
2022-03-04,0.36450000,0.36610000,0.33380000,0.33970000,33646627.00000000
2022-03-05,0.33980000,0.34750000,0.32820000,0.34680000,24199771.00000000
2022-03-06,0.34680000,0.35190000,0.32790000,0.32910000,25048249.00000000
2022-03-07,0.32920000,0.34460000,0.31430000,0.32920000,48943823.00000000
2022-03-08,0.32910000,0.36100000,0.32840000,0.33550000,57643564.00000000
2022-03-09,0.33530000,0.36490000,0.33490000,0.34630000,46538228.00000000
2022-03-10,0.34670000,0.34740000,0.31670000,0.32570000,49275170.00000000
2022-03-11,0.32570000,0.33950000,0.31590000,0.31910000,50827510.00000000
2022-03-12,0.31900000,0.32820000,0.31770000,0.31860000,22391009.00000000
2022-03-13,0.31860000,0.36000000,0.31610000,0.33410000,92221007.00000000
2022-03-14,0.33400000,0.37730000,0.32630000,0.36560000,85546674.00000000
2022-03-15,0.36570000,0.43700000,0.35150000,0.42560000,219213926.00000000
2022-03-16,0.42580000,0.45910000,0.41160000,0.45470000,182062384.00000000
2022-03-17,0.45470000,0.45470000,0.40200000,0.40910000,104639210.00000000
2022-03-18,0.40900000,0.42910000,0.39650000,0.41080000,83275190.00000000
2022-03-19,0.41090000,0.42830000,0.40480000,0.41080000,80549326.00000000
2022-03-20,0.41080000,0.42100000,0.38800000,0.39020000,67830396.00000000
2022-03-21,0.39010000,0.42390000,0.38010000,0.41170000,82205178.00000000
2022-03-22,0.41160000,0.42770000,0.40430000,0.41050000,68831473.00000000
2022-03-23,0.41040000,0.43290000,0.40050000,0.42420000,64980145.00000000
2022-03-24,0.42440000,0.44170000,0.41020000,0.43990000,68054861.00000000
2022-03-25,0.43990000,0.45190000,0.40070000,0.40910000,83797788.00000000
2022-03-26,0.40900000,0.41750000,0.40480000,0.41100000,44115962.00000000
2022-03-27,0.41110000,0.43170000,0.40570000,0.43100000,54538082.00000000
2022-03-28,0.43100000,0.48860000,0.42490000,0.43330000,156895955.00000000
2022-03-29,0.43330000,0.49500000,0.43100000,0.48800000,138960719.00000000
2022-03-30,0.48800000,0.50000000,0.45720000,0.48230000,94640738.00000000
2022-03-31,0.48220000,0.52640000,0.46210000,0.46960000,133137579.00000000
2022-04-01,0.46980000,0.49510000,0.43480000,0.48540000,108838114.00000000
2022-04-02,0.48510000,0.55070000,0.48100000,0.51880000,181790776.00000000
2022-04-03,0.51860000,0.53270000,0.49300000,0.51700000,86861858.00000000
2022-04-04,0.51740000,0.51740000,0.46630000,0.49260000,77559660.00000000
2022-04-05,0.49240000,0.50030000,0.45720000,0.45960000,52937714.00000000
2022-04-06,0.45980000,0.46370000,0.41010000,0.41220000,73519575.00000000
2022-04-07,0.41220000,0.43540000,0.40680000,0.43140000,45072196.00000000
2022-04-08,0.43090000,0.43270000,0.38750000,0.39430000,65440895.00000000
2022-04-09,0.39420000,0.40900000,0.39050000,0.40550000,30916110.00000000
2022-04-10,0.40590000,0.40980000,0.38250000,0.38410000,40304762.00000000
2022-04-11,0.38420000,0.38640000,0.34150000,0.34880000,56804489.00000000
2022-04-12,0.34870000,0.37640000,0.34620000,0.37320000,45763017.00000000
2022-04-13,0.37330000,0.38680000,0.36060000,0.38400000,39412295.00000000
2022-04-14,0.38400000,0.39000000,0.35630000,0.36350000,35341733.00000000
2022-04-15,0.36380000,0.37170000,0.35780000,0.36870000,19860329.00000000
2022-04-16,0.36880000,0.37130000,0.35570000,0.36210000,16693856.00000000
2022-04-17,0.36210000,0.37030000,0.34670000,0.34850000,24537499.00000000
2022-04-18,0.34850000,0.36270000,0.33010000,0.36230000,50971617.00000000
2022-04-19,0.36230000,0.37030000,0.35610000,0.36170000,45808458.00000000
2022-04-20,0.36160000,0.38160000,0.35400000,0.36300000,81655339.00000000
2022-04-21,0.36290000,0.39570000,0.34870000,0.35430000,127163140.00000000
2022-04-22,0.35410000,0.36690000,0.34800000,0.35380000,51946718.00000000
2022-04-23,0.35380000,0.35920000,0.34330000,0.35380000,31742115.00000000
2022-04-24,0.35390000,0.36310000,0.34640000,0.35710000,39027552.00000000
2022-04-25,0.35710000,0.36070000,0.32490000,0.36060000,71918279.00000000
2022-04-26,0.36050000,0.40430000,0.33530000,0.33730000,199265653.00000000
2022-04-27,0.33720000,0.37260000,0.33250000,0.36760000,81814421.00000000
2022-04-28,0.36770000,0.41090000,0.35630000,0.35840000,170392178.00000000
2022-04-29,0.35850000,0.36190000,0.33630000,0.35040000,97749066.00000000
2022-04-30,0.35030000,0.35980000,0.29000000,0.30660000,98193878.76000000
2022-05-01,0.30650000,0.32580000,0.30000000,0.31580000,69728074.00000000
2022-05-02,0.31560000,0.32040000,0.29720000,0.30760000,64754680.00000000
2022-05-03,0.30770000,0.33850000,0.30320000,0.31900000,75343352.00000000
2022-05-04,0.31920000,0.34780000,0.31080000,0.34390000,79244646.00000000
2022-05-05,0.34400000,0.34620000,0.28580000,0.30140000,106897407.00000000
2022-05-06,0.30140000,0.30160000,0.28030000,0.29540000,67496083.00000000
2022-05-07,0.29530000,0.30450000,0.28700000,0.29200000,51499637.00000000
2022-05-08,0.29210000,0.31110000,0.28210000,0.29950000,82692277.00000000
2022-05-09,0.29960000,0.30680000,0.23310000,0.23850000,126181535.73000000
2022-05-10,0.23820000,0.26950000,0.22600000,0.24580000,183058143.00000000
2022-05-11,0.24590000,0.25640000,0.14220000,0.15230000,339453141.00000000
2022-05-12,0.15260000,0.16420000,0.11800000,0.13420000,269857547.66000000
2022-05-13,0.13430000,0.16710000,0.13290000,0.14870000,165071044.00000000
2022-05-14,0.14880000,0.19610000,0.14370000,0.19230000,213857437.00000000
2022-05-15,0.19250000,0.21000000,0.18610000,0.19970000,232141974.00000000
2022-05-16,0.19980000,0.20450000,0.17060000,0.17400000,135907381.00000000
2022-05-17,0.17400000,0.19180000,0.16790000,0.17980000,118477832.00000000
2022-05-18,0.17990000,0.18450000,0.15650000,0.15740000,94336125.00000000
2022-05-19,0.15740000,0.16590000,0.14820000,0.16100000,86187553.00000000
2022-05-20,0.16090000,0.16470000,0.14590000,0.15080000,88967227.00000000
2022-05-21,0.15090000,0.16210000,0.14790000,0.15800000,61217378.00000000
2022-05-22,0.15790000,0.16820000,0.15510000,0.16310000,68112832.00000000
2022-05-23,0.16300000,0.17470000,0.15230000,0.15470000,90549265.00000000
2022-05-24,0.15460000,0.16110000,0.14400000,0.15490000,104123528.00000000
2022-05-25,0.15490000,0.15890000,0.14800000,0.15120000,81060186.00000000
2022-05-26,0.15130000,0.15380000,0.13250000,0.13800000,113529952.00000000
2022-05-27,0.13790000,0.14440000,0.13130000,0.13610000,104195569.00000000
2022-05-28,0.13620000,0.14250000,0.13160000,0.13740000,56175045.00000000
2022-05-29,0.13750000,0.14300000,0.13330000,0.14250000,52684694.00000000
2022-05-30,0.14260000,0.15760000,0.14090000,0.15680000,113837611.00000000
2022-05-31,0.15680000,0.16580000,0.14810000,0.16360000,117674189.00000000
2022-06-01,0.16350000,0.16580000,0.14110000,0.14700000,121269118.00000000
2022-06-02,0.14700000,0.15330000,0.14040000,0.15250000,63291946.00000000
2022-06-03,0.15250000,0.15300000,0.14130000,0.14770000,47900365.00000000
2022-06-04,0.14760000,0.17510000,0.14500000,0.16480000,219794546.00000000
2022-06-05,0.16490000,0.17300000,0.15570000,0.15600000,102408499.00000000
2022-06-06,0.15610000,0.16970000,0.15380000,0.15870000,75334710.00000000
2022-06-07,0.15880000,0.15990000,0.14510000,0.15480000,79153247.00000000
2022-06-08,0.15480000,0.15630000,0.14720000,0.14910000,59558776.00000000
2022-06-09,0.14910000,0.15220000,0.14300000,0.14800000,42698110.00000000
2022-06-10,0.14790000,0.14980000,0.13520000,0.13720000,58748843.00000000
2022-06-11,0.13720000,0.14140000,0.11980000,0.12330000,86039298.00000000
2022-06-12,0.12340000,0.12440000,0.11030000,0.11180000,101699900.00000000
2022-06-13,0.11190000,0.11410000,0.09510000,0.10660000,186222904.63000000
2022-06-14,0.10660000,0.11630000,0.09650000,0.10450000,148202360.00000000
2022-06-15,0.10440000,0.11240000,0.09020000,0.11230000,153540016.00000000
2022-06-16,0.11230000,0.11670000,0.09440000,0.09750000,76910060.00000000
2022-06-17,0.09730000,0.10210000,0.09580000,0.09870000,47299215.00000000
2022-06-18,0.09840000,0.10050000,0.08900000,0.09900000,98982858.00000000
2022-06-19,0.09900000,0.10430000,0.09240000,0.10310000,98302922.00000000
2022-06-20,0.10310000,0.10870000,0.09690000,0.10390000,93396320.00000000
2022-06-21,0.10390000,0.11860000,0.10190000,0.10980000,104713204.00000000
2022-06-22,0.10980000,0.11100000,0.10370000,0.10470000,70172992.00000000
2022-06-23,0.10470000,0.11510000,0.10440000,0.11160000,78917733.00000000
2022-06-24,0.11170000,0.11930000,0.10940000,0.11560000,93258361.00000000
2022-06-25,0.11570000,0.12040000,0.10970000,0.11660000,79205208.00000000
2022-06-26,0.11670000,0.12420000,0.10750000,0.10810000,89530397.00000000
2022-06-27,0.10800000,0.11430000,0.10630000,0.10800000,58186298.00000000
2022-06-28,0.10790000,0.10980000,0.09880000,0.10000000,69554797.00000000
2022-06-29,0.10010000,0.10220000,0.09330000,0.09480000,100877134.00000000
2022-06-30,0.09490000,0.09590000,0.08920000,0.09550000,92070508.00000000
2022-07-01,0.09550000,0.09920000,0.08990000,0.09220000,100122474.00000000
2022-07-02,0.09230000,0.09600000,0.09000000,0.09440000,40874289.00000000
2022-07-03,0.09430000,0.09510000,0.09030000,0.09460000,31433052.00000000
2022-07-04,0.09460000,0.09860000,0.09130000,0.09800000,60295184.00000000
2022-07-05,0.09820000,0.10140000,0.09200000,0.09650000,78608654.00000000
2022-07-06,0.09660000,0.09970000,0.09520000,0.09870000,51246024.00000000
2022-07-07,0.09870000,0.10410000,0.09830000,0.10250000,51563211.00000000
2022-07-08,0.10260000,0.10460000,0.09740000,0.09940000,54244511.00000000
2022-07-09,0.09930000,0.11050000,0.09930000,0.10580000,71895251.00000000
2022-07-10,0.10560000,0.10590000,0.09870000,0.10000000,38595681.00000000
2022-07-11,0.10010000,0.10010000,0.09090000,0.09160000,61256676.00000000
2022-07-12,0.09150000,0.09440000,0.08650000,0.08730000,88170198.00000000
2022-07-13,0.08720000,0.09400000,0.08480000,0.09390000,94445740.00000000
2022-07-14,0.09380000,0.09730000,0.08970000,0.09610000,64402024.00000000
2022-07-15,0.09620000,0.10060000,0.09500000,0.09850000,58751124.00000000
2022-07-16,0.09850000,0.10380000,0.09620000,0.10140000,54102971.00000000
2022-07-17,0.10140000,0.10310000,0.09690000,0.09800000,82273823.00000000
2022-07-18,0.09810000,0.11500000,0.09800000,0.11000000,179605064.00000000
2022-07-19,0.11000000,0.11720000,0.10600000,0.11470000,130886369.00000000
2022-07-20,0.11460000,0.12000000,0.10400000,0.10460000,127823560.00000000
2022-07-21,0.10470000,0.10810000,0.10110000,0.10700000,77170566.00000000
2022-07-22,0.10700000,0.11670000,0.10340000,0.10380000,120034715.00000000
2022-07-23,0.10380000,0.10850000,0.10060000,0.10610000,73128468.00000000
2022-07-24,0.10610000,0.10840000,0.10430000,0.10470000,54209596.00000000
2022-07-25,0.10470000,0.10570000,0.09550000,0.09560000,63182174.00000000
2022-07-26,0.09570000,0.09830000,0.09310000,0.09730000,66071807.00000000
