base_symbol,quote_symbol,hedge_ratio,half_life,window,10th percentile,90th percentile
ZECUSDT,VETUSDT,3093.407,13.0,26,-36.55179557600001,-4.828122043999998
ZECUSDT,IOSTUSDT,6176.969,8.0,16,-27.353664225999992,-4.128469887999993
ZECUSDT,ZILUSDT,1664.33,9.0,18,-11.050928139999993,11.443866400000005
ZECUSDT,ICXUSDT,195.625,7.0,14,-3.481450000000001,15.468375000000009
ZECUSDT,KSMUSDT,0.912,9.0,18,5.319839999999995,25.485119999999995
ZECUSDT,NEARUSDT,10.502,18.0,36,12.361165599999996,34.77508880000002
ZECUSDT,XEMUSDT,1825.16,7.0,14,-31.53382,-5.989090400000002
ZECUSDT,COTIUSDT,773.239,13.0,26,-33.028642800000014,-1.655806640000005
ZECUSDT,CELOUSDT,48.975,7.0,14,5.575269999999998,26.295705
XTZUSDT,SOLUSDT,0.026,11.0,22,0.4079959999999999,0.8070720000000002
XTZUSDT,NEARUSDT,0.173,15.0,30,0.5365909999999999,1.0289564
XTZUSDT,COTIUSDT,13.795,10.0,20,-0.1981922999999999,0.2960464
XTZUSDT,CELOUSDT,0.857,9.0,18,0.3829868,0.8823664
BNBUSDT,ZILUSDT,2428.203,13.0,26,136.079199144,243.964376414
BNBUSDT,DGBUSDT,10346.469,12.0,24,132.12548856400002,209.11470137
BNBUSDT,MINAUSDT,93.475,15.0,30,172.77004,244.31178000000003
ATOMUSDT,ZILUSDT,261.888,14.0,28,-3.9280611839999984,6.0735143040000015
ONTUSDT,VETUSDT,8.651,6.0,12,0.00364787,0.037843554
ONTUSDT,QTUMUSDT,0.075,8.0,16,-0.0196549999999999,0.02573
ONTUSDT,IOSTUSDT,17.719,6.0,12,-0.02106418,0.0418637539999999
ONTUSDT,THETAUSDT,0.156,6.0,12,0.0332528,0.0764904
ONTUSDT,ZILUSDT,4.551,7.0,14,0.0408885979999999,0.097832596
ONTUSDT,SXPUSDT,0.319,8.0,16,0.09322536,0.1393945399999999
ONTUSDT,WAVESUSDT,0.012,9.0,18,0.1443088,0.2297799999999999
ONTUSDT,DOTUSDT,0.026,7.0,14,0.02446,0.065908
ONTUSDT,EGLDUSDT,0.003,10.0,20,0.036568,0.098598
ONTUSDT,SOLUSDT,0.004,12.0,24,0.085996,0.142904
ONTUSDT,ICXUSDT,0.556,4.0,8,0.0713039199999999,0.1017389599999999
ONTUSDT,AVAXUSDT,0.005,8.0,16,0.10539,0.16121
ONTUSDT,KSMUSDT,0.003,11.0,22,0.0474999999999999,0.117556
ONTUSDT,NEARUSDT,0.028,13.0,26,0.109188,0.1699776
ONTUSDT,FILUSDT,0.022,4.0,8,0.0796592,0.122896
ONTUSDT,ZENUSDT,0.012,8.0,16,0.034944,0.090932
ONTUSDT,COTIUSDT,2.161,8.0,16,-0.0078293,0.05250766
ONTUSDT,HBARUSDT,2.355,8.0,16,0.0420892999999999,0.10053
ONTUSDT,ONEUSDT,3.11,12.0,24,0.12572646,0.19198054
ONTUSDT,DGBUSDT,20.604,4.0,8,-0.008651456,0.047795864
ONTUSDT,IOTXUSDT,6.502,6.0,12,0.013199368,0.068599032
ONTUSDT,CELOUSDT,0.135,5.0,10,0.09102,0.140155
ONTUSDT,ARUSDT,0.015,7.0,14,0.03304,0.0951
ONTUSDT,KLAYUSDT,0.408,8.0,16,0.09512544,0.15934144
ONTUSDT,FLOWUSDT,0.07,9.0,18,0.0937819999999999,0.146298
ONTUSDT,CKBUSDT,43.191,4.0,8,0.0388198199999999,0.085513934
